"fleet","block","start_year","end_year","n_years","catch_pct","peak_age","within_var","pc1_pct_var","boundary_rank","rationale"
"catch N_Chile",1,1970,1991,22,63,6,0.02519,55.9,1,"Initial block"
"catch N_Chile",2,1992,1996,5,13.1,2,0.01509,55.9,4,"Peak age shifted 6 → 2 (13.1% of catch)"
"catch N_Chile",3,1997,2009,13,16.4,2,0.00069,55.9,3,"Selectivity shape change (16.4% of fleet catch in block)"
"catch N_Chile",4,2010,2014,5,2.3,2,0.02368,55.9,2,"Selectivity shape change (2.3% of fleet catch in block)"
"catch N_Chile",5,2015,2019,5,1.1,8,0.01106,55.9,5,"Peak age shifted 2 → 8 (1.1% of catch)"
"catch N_Chile",6,2020,2025,6,4.1,8,0.00125,55.9,NA,"Selectivity shape change (4.1% of fleet catch in block)"
"catch SC_Chile_PS",1,1970,1976,7,0.4,4,2e-05,80.4,7,"Initial block"
"catch SC_Chile_PS",2,1977,1981,5,2.5,4,2e-05,80.4,5,"Selectivity shape change (2.5% of fleet catch in block)"
"catch SC_Chile_PS",3,1982,1986,5,7,5,0.02238,80.4,1,"Selectivity shape change (7.0% of fleet catch in block)"
"catch SC_Chile_PS",4,1987,1995,9,41.2,9,0.00981,80.4,2,"Peak age shifted 5 → 9 (41.2% of catch)"
"catch SC_Chile_PS",5,1996,2007,12,33.3,9,0.0084,80.4,4,"Selectivity shape change (33.3% of fleet catch in block)"
"catch SC_Chile_PS",6,2008,2012,5,3.7,7,0.00778,80.4,6,"Peak age shifted 9 → 7 (3.7% of catch)"
"catch SC_Chile_PS",7,2013,2017,5,2.3,9,0.01074,80.4,3,"Peak age shifted 7 → 9 (2.3% of catch)"
"catch SC_Chile_PS",8,2018,2025,8,9.4,9,0.02141,80.4,NA,"Selectivity shape change (9.4% of fleet catch in block)"
"catch FarNorth",1,1970,1983,14,22.7,4,0.00013,59.2,3,"Initial block"
"catch FarNorth",2,1984,1992,9,14.4,4,0.0033,59.2,2,"Selectivity shape change (14.4% of fleet catch in block)"
"catch FarNorth",3,1993,1997,5,18,3,0.00483,59.2,4,"Selectivity shape change (18.0% of fleet catch in block)"
"catch FarNorth",4,1998,2002,5,16.7,3,0.00335,59.2,5,"Selectivity shape change (16.7% of fleet catch in block)"
"catch FarNorth",5,2003,2019,17,19,3,0.0143,59.2,1,"Selectivity shape change (19.0% of fleet catch in block)"
"catch FarNorth",6,2020,2025,6,9.2,5,0.01205,59.2,NA,"Peak age shifted 3 → 5 (9.2% of catch)"
"catch Offshore_Trawl",1,1970,1975,6,0.1,8,0,65.6,7,"Initial block"
"catch Offshore_Trawl",2,1976,1980,5,5.9,8,1e-05,65.6,5,"Selectivity shape change (5.9% of fleet catch in block)"
"catch Offshore_Trawl",3,1981,1985,5,30.3,8,0.00024,65.6,3,"Selectivity shape change (30.3% of fleet catch in block)"
"catch Offshore_Trawl",4,1986,1990,5,33.2,8,0.00506,65.6,1,"Selectivity shape change (33.2% of fleet catch in block)"
"catch Offshore_Trawl",5,1991,1995,5,4.5,8,1e-04,65.6,6,"Selectivity shape change (4.5% of fleet catch in block)"
"catch Offshore_Trawl",6,1996,2000,5,0,8,0.00165,65.6,2,"Selectivity shape change (0.0% of fleet catch in block)"
"catch Offshore_Trawl",7,2001,2012,12,20.9,1,0.03975,65.6,4,"Peak age shifted 8 → 1 (20.9% of catch)"
"catch Offshore_Trawl",8,2013,2025,13,5.1,8,0.02586,65.6,NA,"Peak age shifted 1 → 8 (5.1% of catch)"
